source_file,label,status,native_symbol,tests,notes
src/bank7.asm,game_routine_00,translated,contra_game_routine_00,title_start_reaches_level1_gameplay,intro graphics setup on active path
src/bank7.asm,game_routine_01,translated,contra_game_routine_01,title_start_reaches_level1_gameplay,title wait and input handling on active path
src/bank7.asm,game_routine_02,partial,contra_game_routine_02,attract_reaches_level2_gameplay|attract_level1_demo_reaches_screen_milestones|attract_level2_loads_wall_core_without_early_clear|attract_level2_demo_does_not_consume_multiple_lives_before_rom_terminal,attract sequencing and demo input are active but later-level parity incomplete
src/bank7.asm,game_routine_05,partial,contra_game_routine_05,title_start_reaches_level1_gameplay|level2_indoor_floor_landing|level2_indoor_room_rendering_has_detail,level dispatch shell active
src/bank7.asm,level_routine_00,partial,contra_level_routine_00,title_start_reaches_level1_gameplay|level2_indoor_floor_landing|level2_indoor_room_rendering_has_detail,level initialization active with incomplete later-level enemy semantics
src/bank7.asm,level_routine_04,partial,contra_level_routine_04,level1_scrolls_right_under_player_input|level1_spawns_native_enemies_while_scrolling|level2_room_advance_after_clear_and_up|level2_wall_core_destroy_allows_room_advance|level2_wall_core_destroy_updates_back_wall_quadrants|level2_roller_generator_spawns_roller_row|level2_room_advance_changes_render_state,gameplay loop active with level 1 enemies and approximate indoor flow
src/bank7.asm,level_routine_08_09_end_level,partial,contra_run_end_level_sequence,level1_forced_boss_clear_hands_off_to_level2,forced level 1 boss flag path exercises end-level subroutine sequencing into level 2
src/bank7.asm,set_frame_scroll_draw_player_bullets,partial,contra_set_frame_scroll_draw_player_bullets,level1_scrolls_right_under_player_input|level1_bullet_destroyed_enemy_becomes_explosion|level1_weapon_item_pickup_changes_weapon_and_bullet,scroll and bullets active with later-level gaps
src/bank7.asm,handle_scroll,partial,contra_load_bank_3_handle_scroll,level1_scrolls_right_under_player_input|level2_room_advance_after_clear_and_up|level2_wall_core_destroy_allows_room_advance|level2_wall_core_destroy_updates_back_wall_quadrants|level2_roller_generator_spawns_roller_row|level2_room_advance_changes_render_state|level2_repeated_room_advances_reach_boss_state,outdoor horizontal active and indoor transition approximate; seeded level 2 room-chain is now semantically compared against original-ROM checkpoints through boss-room entry
src/bank7.asm,run_player_state_routine,partial,contra_run_player_state_routine,level2_indoor_floor_landing|level2_room_advance_after_clear_and_up|level2_up_before_clear_electrocutes_without_advancing|level2_repeated_room_advances_reach_boss_state,player state active with incomplete indoor and later-level parity
src/bank7.asm,get_player_bg_collision_code,partial,contra_get_player_bg_collision_code,level2_indoor_floor_landing,indoor floor and outdoor lookup active
src/bank5.asm,load_demo_input_table,partial,contra_simulate_demo_input,attract_reaches_level2_gameplay|attract_level1_demo_reaches_screen_milestones,ROM-backed demo tables consumed by native shell
src/bank2.asm,level_headers,rom-backed,contra_level_headers,,copied into C table instead of interpreted from symbols
src/bank2.asm,level_screen_data,rom-backed,contra_load_supertiles_screen_indexes,,read from baserom through ROM access helpers
src/bank2.asm,level_1_enemy_screen_data,partial,contra_load_bank_2_load_screen_enemy_data,level1_spawns_native_enemies_while_scrolling,level 1 enemy records are consumed by the native level 1 path
src/bank0.asm,level_1_bridge_routine,partial,contra_load_bank_0_exe_all_enemy_routine,level1_bridge_destruction_reaches_overlay_state|level1_organic_bridge_load_changes_collision,bridge destruction reaches native overlay state and ROM-loaded bridge actor changes collision; fully hands-off parity still needs broader scenarios
src/bank6.asm,player_weapon_logic,partial,contra_check_player_fire,level1_weapon_item_pickup_changes_weapon_and_bullet,weapon pickup changes RAM and selected bullet behavior on native level 1 path
src/bank1.asm,sprite_pointer_tables,rom-backed,contra_render_cpu_sprites,,sprite definitions read from baserom
src/bank1.asm,audio_engine,stubbed,contra_play_sound,,sound commands are accepted but not mixed
src/bank2.asm,load_enemy_indoor_level,partial,contra_load_bank_2_load_screen_enemy_data,level2_wall_core_destroy_allows_room_advance|level2_wall_core_destroy_updates_back_wall_quadrants|level2_roller_generator_spawns_roller_row|attract_level2_loads_wall_core_without_early_clear|level2_boss_room_loads_rom_enemy_data,level 2 indoor enemy screen data loads wall-core counts selected native enemy actors room 3 roller generator and level 2 boss-room eye cannon plating actors; seeded room-chain checkpoints are semantically compared with original ROM through boss-room entry
src/bank0.asm,level_2_enemy_routines,partial,contra_load_bank_0_exe_all_enemy_routine,level2_wall_core_destroy_allows_room_advance|level2_wall_core_destroy_updates_back_wall_quadrants|level2_soldier_generator_uses_scripted_attack_rounds|level2_generated_soldiers_fire_projectiles|level2_roller_generator_spawns_roller_row|level2_projectiles_move_and_hit_player|level2_boss_room_loads_rom_enemy_data|level2_boss_room_plating_and_eye_can_be_destroyed|level2_boss_room_wall_cannons_fire_projectiles,wall-core opening HP delayed back-wall quadrant updates room-clear count selected level 2 generator attack scripts generated soldier bullets roller rows projectile-player hits boss-room actor initialization plating damage boss-eye defeat and wall-cannon projectiles are native; richer projectile physics and full boss attack patterns remain incomplete
